"id","commonNameDutch","commonNameEnglish","scientificName","image","isPoisonous","isDeadly","isEdible","capColor","createdAt","updatedAt"
1,"Gewone berkenboleet","Brown birch-bolete","Leccinum Scabrum","https://www.first-nature.com/fungi/images/boletaceae/leccinum-scabrum8.jpg",FALSE,FALSE,TRUE,"brown","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
4,"Vroeg eekhoorntjesbrood","Summer cep","Boletus reticulatus ","https://en.wikipedia.org/wiki/Boletus_reticulatus#/media/File:Boletus.JPG",FALSE,FALSE,TRUE,"brown","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
5,"Roodgrijze Melkzwam","grey milkcap","lactarius vietus","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Lactarius_vietus041031w.jpg/1200px-Lactarius_vietus041031w.jpg",FALSE,FALSE,TRUE,"brown/red/grey","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
8,"Geschubde Inktzwam","Shaggy Mane","Coprinus comatus","https://i0.wp.com/practicalselfreliance.com/wp-content/uploads/2018/09/Foraging-Shaggy-Mane-Mushrooms-1-of-7.jpg",FALSE,FALSE,TRUE,"white/bronw","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
2,"Waaierkorstzwam","Yellowing curtain crust","Stereum Subtomentosum","https://www.verspreidingsatlas.nl/photopath/Stereum_subtomentosum_HH2_nmv.jpg",TRUE,FALSE,FALSE,"orange/yellow","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
3,"Langsteelfranjehoed","Conical Brittlestem mushroom","parasola conopilus","https://www.verspreidingsatlas.nl/photopath/Psathyrella_conopilus_HH3_nmv.jpg",TRUE,FALSE,FALSE,"brown/white","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
6,"Draadknotszwam","Macrotyphula juncea","Macrotyphula juncea","https://www.mykoweb.com/CAF/photos/Macrotyphula_juncea%28mgw-04%29.jpg",TRUE,FALSE,FALSE,"brown/red/grey","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
7,"Vliegenzwam","Fly Agaric","Amanita Muscaria","https://en.wikipedia.org/wiki/Amanita_muscaria#/media/File:Amanita_muscaria_3_vliegenzwammen_op_rij.jpg",TRUE,FALSE,TRUE,"white/red","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
9,"Stinkparasolzwam","Stinking Dapperling","Lepiota cristata","https://upload.wikimedia.org/wikipedia/commons/f/fe/2011-12-01_Lepiota_cristata_%28Bolton%29_P._Kumm_186612.jpg",TRUE,FALSE,FALSE,"white/brown","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
10,"Grote kale inktzwam","Common Inkcap","Coprinopsis atramentaria","https://upload.wikimedia.org/wikipedia/commons/3/30/Coprinopsis_atramentaria_3_-_Lindsey.jpg",TRUE,FALSE,FALSE,"white/brown/black","2021-10-19 13:05:29.753+00","2021-10-19 13:05:29.753+00"
